_id,hotel_name,hotel_id,hotel_location_info,hotel_grade_text,hotel_city_name,secondary_address,primary_address,lat,lng,province,city,area
674fcd75e087432f8b689f3b,景里酒店(北京首都机场店),beijing_city_100135,近中粮祥云小镇 · 首都机场/新国展,高档型,北京,中粮祥云小镇,首都机场/新国展,,,,,
674fcd75e087432f8b689f3c,北京望京798艺术区亚朵酒店,beijing_city_100253,近798艺术区 · 望京/酒仙桥/798,高档型,北京,798艺术区,望京/酒仙桥/798,,,,,
674fcd75e087432f8b689f51,建国铂萃酒店(北京国贸店),beijing_city_101157,近国贸地铁站 · 国贸CBD,高档型,北京,国贸地铁站,国贸CBD,,,,,
674fcd75e087432f8b689f53,北京亦庄新城马驹桥亚朵酒店,beijing_city_101161,近合生世界村 · 亦庄,高档型,北京,合生世界村,亦庄,,,,,
674fcd75e087432f8b689f56,北京天坛漫心酒店,beijing_city_101210,近天坛东门地铁站 · 前门/天坛公园/崇文门,高档型,北京,天坛东门地铁站,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b689f67,北京温都水城湖湾酒店,beijing_city_101513,近中央戏剧学院(昌平校区) · 回龙观/天通苑,高档型,北京,中央戏剧学院(昌平校区),回龙观/天通苑,,,,,
674fcd75e087432f8b689f78,桔子水晶北京南站木樨园酒店,beijing_city_101662,近木樨园地铁站 · 永定门/南站/大红门/南苑,高档型,北京,木樨园地铁站,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b689f7a,北京总部基地CitiGO欢阁酒店,beijing_city_101723,近丰台科技园地铁站 · 总部基地/丰台/南宫,高档型,北京,丰台科技园地铁站,总部基地/丰台/南宫,,,,,
674fcd75e087432f8b689f86,城市有爱酒店(北京南站西铁营地铁站店),beijing_city_102194,近首都医科大学附属北京佑安医院 · 永定门/南站/大红门/南苑,高档型,北京,首都医科大学附属北京佑安医院,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b689f89,北京国贸商务区希尔顿欢朋酒店,beijing_city_102207,近四惠东地铁站 · 国贸CBD,高档型,北京,四惠东地铁站,国贸CBD,,,,,
674fcd75e087432f8b689f8f,桔子水晶北京国贸商务区四惠酒店,beijing_city_102238,近四惠东地铁站 · 国贸CBD,高档型,北京,四惠东地铁站,国贸CBD,,,,,
674fcd75e087432f8b689f92,北京望京科技园亚朵酒店,beijing_city_102250,近望京地铁站 · 望京/酒仙桥/798,高档型,北京,望京地铁站,望京/酒仙桥/798,,,,,
674fcd75e087432f8b689f9a,北京和乔丽致酒店,beijing_city_103,近国贸地铁站 · 国贸CBD,高档型,北京,国贸地铁站,国贸CBD,,,,,
674fcd75e087432f8b689fa6,北京商都酒店,beijing_city_10381,近景风门地铁站 · 永定门/南站/大红门/南苑,高档型,北京,景风门地铁站,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b689fb5,北京雍景台酒店,beijing_city_106,近东直门地铁站 · 三里屯/工体/东直门,高档型,北京,东直门地铁站,三里屯/工体/东直门,,,,,
674fcd75e087432f8b689fb9,泰莲庭溪畔酒店(北京雁栖湖店),beijing_city_10786,近怀柔泰莲庭 · 怀柔景区,高档型,北京,怀柔泰莲庭,怀柔景区,,,,,
674fcd75e087432f8b689fc3,北京方恒假日酒店,beijing_city_10870,近望京SOHO · 望京/酒仙桥/798,高档型,北京,望京SOHO,望京/酒仙桥/798,,,,,
674fcd75e087432f8b689fd7,北京华威商务酒店,beijing_city_11,近西单地铁站 · 西单/金融街,高档型,北京,西单地铁站,西单/金融街,,,,,
674fcd75e087432f8b689fd9,北京国际温泉酒店,beijing_city_11007,近霍营地铁站 · 上地产业园/西三旗,高档型,北京,霍营地铁站,上地产业园/西三旗,,,,,
674fcd75e087432f8b689fda,北京西直门宾馆,beijing_city_11009,近西直门地铁站 · 西直门/北京展览馆,高档型,北京,西直门地铁站,西直门/北京展览馆,,,,,
674fcd75e087432f8b689fdd,北京明豪华美达酒店(首都机场新国展店),beijing_city_11034,近天竺(地区)镇 · 首都机场/新国展,高档型,北京,天竺(地区)镇,首都机场/新国展,,,,,
674fcd75e087432f8b689feb,北京新疆大厦嘉宾楼,beijing_city_112,近北京动物园 · 西直门/北京展览馆,高档型,北京,北京动物园,西直门/北京展览馆,,,,,
674fcd75e087432f8b689fee,北京丽泽金融商务区亚朵酒店,beijing_city_112345,近丽泽商务区地铁站 · 北京西站/丽泽商务区,高档型,北京,丽泽商务区地铁站,北京西站/丽泽商务区,,,,,
674fcd75e087432f8b689ffb,懿庭臻舍酒店(北京前门步行街店),beijing_city_112449,近前门大街 · 前门/天坛公园/崇文门,高档型,北京,前门大街,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b689ffc,北京新国展希尔顿欢朋酒店,beijing_city_112509,近南法信地铁站 · 顺义温泉区,高档型,北京,南法信地铁站,顺义温泉区,,,,,
674fcd75e087432f8b68a000,阳光嘉悦酒店,beijing_city_112633,近翠福园 · 通州运河商务区,高档型,北京,翠福园,通州运河商务区,,,,,
674fcd75e087432f8b68a017,桔子水晶北京天安门王府井酒店,beijing_city_112825,近王府井 · 天安门/王府井,高档型,北京,王府井,天安门/王府井,,,,,
674fcd75e087432f8b68a02b,北京通州梨园地铁站亚朵酒店,beijing_city_112978,近梨园地铁站 · 环球影城及周边,高档型,北京,梨园地铁站,环球影城及周边,,,,,
674fcd75e087432f8b68a032,北京总部基地美居酒店,beijing_city_113073,近丰台科技园地铁站 · 总部基地/丰台/南宫,高档型,北京,丰台科技园地铁站,总部基地/丰台/南宫,,,,,
674fcd75e087432f8b68a042,北京浦金凯航国际酒店,beijing_city_113156,近南宫文化夜市 · 总部基地/丰台/南宫,高档型,北京,南宫文化夜市,总部基地/丰台/南宫,,,,,
674fcd75e087432f8b68a04b,秋果酒店(北京欢乐谷地铁站店),beijing_city_113229,近垡头地铁站 · 欢乐谷,高档型,北京,垡头地铁站,欢乐谷,,,,,
674fcd75e087432f8b68a04c,秋果酒店(北京三元桥使馆区店),beijing_city_113230,近美国大使馆 · 燕莎/朝阳公园,高档型,北京,美国大使馆,燕莎/朝阳公园,,,,,
674fcd75e087432f8b68a05a,秋果酒店(北京西站店),beijing_city_113331,近六里桥 · 北京西站/丽泽商务区,高档型,北京,六里桥,北京西站/丽泽商务区,,,,,
674fcd75e087432f8b68a05c,北京后海鼓楼四合院漫心府,beijing_city_113342,近什刹海 · 后海/南锣鼓巷,高档型,北京,什刹海,后海/南锣鼓巷,,,,,
674fcd75e087432f8b68a065,秋果酒店(北京总部基地店),beijing_city_113406,近湖南衡阳 · 总部基地/丰台/南宫,高档型,北京,湖南衡阳,总部基地/丰台/南宫,,,,,
674fcd75e087432f8b68a067,古北水镇新青年艺术酒店,beijing_city_113412,古北水镇景区内,高档型,北京,古北水镇景区内,,,,,,
674fcd75e087432f8b68a06c,北京小汤一瓢温泉度假民宿,beijing_city_113436,近小汤山路口 · 小汤山温泉区,高档型,北京,小汤山路口,小汤山温泉区,,,,,
674fcd75e087432f8b68a075,北京一川Year Swang私汤露营民宿,beijing_city_113463,近北京紫云山庄 · 古北水镇,高档型,北京,北京紫云山庄,古北水镇,,,,,
674fcd75e087432f8b68a07c,北京月亮河璞玥酒店,beijing_city_113474,近北京(通州)大运河文化旅游景区 · 通州运河商务区,高档型,北京,北京(通州)大运河文化旅游景区,通州运河商务区,,,,,
674fcd75e087432f8b68a08e,桔子水晶北京国贸建国门酒店,beijing_city_11352,近永安里地铁站 · 国贸CBD,高档型,北京,永安里地铁站,国贸CBD,,,,,
674fcd75e087432f8b68a0a2,秋果酒店(北京国贸朝阳路店),beijing_city_113982,近四惠地铁站 · 国贸CBD,高档型,北京,四惠地铁站,国贸CBD,,,,,
674fcd75e087432f8b68a0a3,北京西西友谊酒店,beijing_city_114,近西单地铁站 · 西单/金融街,高档型,北京,西单地铁站,西单/金融街,,,,,
674fcd75e087432f8b68a0aa,秋果S1918庭院式酒店(北京天安门店),beijing_city_114304,近珠市口地铁站 · 前门/天坛公园/崇文门,高档型,北京,珠市口地铁站,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b68a0af,麗枫酒店(北京首都机场新国展店),beijing_city_114361,近六元桥 · 顺义温泉区,高档型,北京,六元桥,顺义温泉区,,,,,
674fcd75e087432f8b68a0b2,格兰云天·阅酒店(北京奥宇店),beijing_city_114376,近莱茵河洗浴中心 · 大兴机场,高档型,北京,莱茵河洗浴中心,大兴机场,,,,,
