id,hotel_name,hotel_id,hotel_score,hotel_image_id,hotel_location_info,hotel_grade_text,hotel_comment_desc,hotel_city_name
1,汇鑫龙都宾馆(北京中日友好医院化工大学店),beijing_city_10011,4.9,https://userimg.qunarzz.com/imgs/202301/25/C._Cj4FVh26XTaQLh_t480.webp,近中日友好医院 · 国展中心,经济型,超棒,北京
2,景里酒店(北京首都机场店),beijing_city_100135,4.9,https://userimg.qunarzz.com/imgs/202003/11/C.hzv9HSChOrl1ZWfJo480.webp,近中粮祥云小镇 · 首都机场/新国展,高档型,超棒,北京
3,北京望京798艺术区亚朵酒店,beijing_city_100253,4.9,https://userimg.qunarzz.com/imgs/202205/17/C.ikAq1sHvffHnIqf73480.webp,近798艺术区 · 望京/酒仙桥/798,高档型,超棒,北京
4,北京建晋东方宾馆(北京协和医院店),beijing_city_10039,4.5,https://userimg.qunarzz.com/imgs/202206/05/C.bMxgdT9XhvnS91AiZ480.webp,近王府井 · 北京站,经济型,不错,北京
5,贝壳酒店(北京房山城关地铁站店),beijing_city_100472,4.8,https://userimg.qunarzz.com/imgs/202311/22/C.lUEUF-kBTyPkqCo5Z480.webp,近房山城关地铁站 · 房山景区,经济型,棒,北京
6,丰体宾馆(北京大井地铁站店),beijing_city_10051,4.6,https://userimg.qunarzz.com/imgs/202203/26/C.1SO8GuyseP6zDMOie480.webp,近岳各庄桥 · 总部基地/丰台/南宫,经济型,好,北京
7,布丁酒店(北京刘家窑地铁站c口店),beijing_city_10053,4.5,https://userimg.qunarzz.com/imgs/202201/13/C.JP3VUgJDKxvLYR8-J480.webp,近刘家窑地铁站 · 劲松/潘家园,经济型,不错,北京
8,北京连升商务酒店,beijing_city_10057,4.6,https://userimg.qunarzz.com/imgs/202206/03/C.E8wB500hBv-IkPHK0480.webp,近前门大街 · 前门/天坛公园/崇文门,经济型,好,北京
9,贝壳酒店(北京市政府新区土桥地铁站店),beijing_city_100616,4.8,https://userimg.qunarzz.com/imgs/202206/03/C.ORrBbWWd3spgZ5RiW480.webp,近张家湾镇人民政府 · 环球影城及周边,经济型,棒,北京
10,北京易空间宾馆,beijing_city_100617,4.9,https://userimg.qunarzz.com/imgs/202206/05/C.7lbmYScPT_FsrNQCG480.webp,近梨园地铁站 · 环球影城及周边,经济型,超棒,北京
11,全季酒店(北京中关村人民大学地铁站店),beijing_city_100620,4.9,https://userimg.qunarzz.com/imgs/202111/04/C.BrAFsHLEuxILNGSR_480.webp,近北京理工大学 · 中关村/五道口,舒适型,超棒,北京
12,寓居服务公寓(北京燕莎霄云里8号店),beijing_city_10065,4.8,https://userimg.qunarzz.com/imgs/202204/02/C.V5VjrxxruBi5VRVlx480.webp,近美国大使馆 · 燕莎/朝阳公园,舒适型,棒,北京
13,北京三里明月酒店,beijing_city_10067,4.9,https://userimg.qunarzz.com/imgs/202107/19/C.UBYLzY5YqDUHi-W66480.webp,近木樨地地铁站 · 西单/金融街,舒适型,超棒,北京
14,北京优游逸墅(古北口水镇景区店),beijing_city_100763,4.9,https://userimg.qunarzz.com/imgs/202301/06/C.XqpJZ4G_UgsFRJMt7480.webp,近北京古北水镇司马台长城国际旅游度假区 · 古北水镇,经济型,超棒,北京
15,北京北平小院设计酒店,beijing_city_10077,4.8,https://userimg.qunarzz.com/imgs/202108/21/C.ywN6rcj9xlQRAmdzL480.webp,近南锣鼓巷地铁站 · 天安门/王府井,舒适型,棒,北京
16,麗枫酒店(北京望京地铁站店),beijing_city_100904,4.8,https://userimg.qunarzz.com/imgs/202004/14/C.vMo3_K81_VUeMhiZK480.webp,近望京地铁站 · 望京/酒仙桥/798,舒适型,棒,北京
17,北京八达岭长城竹园民宿,beijing_city_100957,4.9,https://userimg.qunarzz.com/imgs/202302/02/C.Nt5Vsq28ZNpnF6BI8480.webp,近八达岭站 · 延庆度假区,经济型,超棒,北京
18,北京怡馨快捷酒店(密云长城环岛店),beijing_city_100966,4.5,https://userimg.qunarzz.com/imgs/202306/01/C.00wWpth9mNLk5JpFJ480.webp,近行宫 · 密云城区,经济型,不错,北京
19,桔子酒店(北京建国门店),beijing_city_101075,4.8,https://userimg.qunarzz.com/imgs/202209/15/C.A0acLaaBgz1qi3oqa480.webp,近建国门地铁站 · 三里屯/工体/东直门,舒适型,棒,北京
20,格林豪泰智选酒店(北京市房山区窦店路金鑫苑店),beijing_city_101091,4.8,https://userimg.qunarzz.com/imgs/202004/14/C.KA2YgdHhZZHj82cQN480.webp,近窦店人民公园 · 房山景区,经济型,棒,北京
22,邯郸市政府驻京联络处京邯宾馆(北京月坛三里河店),beijing_city_101100,4.7,https://userimg.qunarzz.com/imgs/202301/30/C.p_AdSBjjZSPPZHXfF480.webp,近木樨地地铁站 · 西单/金融街,经济型,很好,北京
23,北京漫生活公寓,beijing_city_101116,4.8,https://userimg.qunarzz.com/imgs/202311/20/C.XF-y7fSi13ALQa7xI480.webp,近合生世界村 · 亦庄,经济型,棒,北京
24,建国铂萃酒店(北京国贸店),beijing_city_101157,4.8,https://userimg.qunarzz.com/imgs/202205/17/C.ZEnUr__HA8DMNYYn_480.webp,近国贸地铁站 · 国贸CBD,高档型,棒,北京
25,京尚优选酒店(北京前门蒲黄榆地铁站店),beijing_city_101158,4.5,https://userimg.qunarzz.com/imgs/202108/08/C.dP2Zq25mqAfZtGLY6480.webp,近蒲黄榆地铁站 · 永定门/南站/大红门/南苑,经济型,不错,北京
26,北京亦庄新城马驹桥亚朵酒店,beijing_city_101161,4.9,https://userimg.qunarzz.com/imgs/202107/30/C.wkBBDAQRvWS0RrXyU480.webp,近合生世界村 · 亦庄,高档型,超棒,北京
27,希岸·轻雅酒店(北京大兴高米店南地铁站店),beijing_city_101164,4.6,https://userimg.qunarzz.com/imgs/202103/01/C.-N3IhSbsD6S4RM1DS480.webp,近北京大学软件与微电子学院 · 大兴机场,经济型,好,北京
29,北京天坛漫心酒店,beijing_city_101210,4.9,https://userimg.qunarzz.com/imgs/202205/31/C.ceDUDXX4bRdpTRWFX480.webp,近天坛东门地铁站 · 前门/天坛公园/崇文门,高档型,超棒,北京
30,北京邓惠玲旅游户,beijing_city_101223,5.0,https://userimg.qunarzz.com/imgs/202007/22/C.dpKdKnn3otbiQckLn480.webp,近汉石桥湿地 · 顺义温泉区,经济型,超棒,北京
31,富春山居山水民宿,beijing_city_101228,4.9,https://userimg.qunarzz.com/imgs/202207/27/C.M0Gq6bb1-jFJTJyUb480.webp,近X008与窑湾路交叉口 · 延庆度假区,舒适型,超棒,北京
32,北京亚楠民宿,beijing_city_101230,4.9,https://userimg.qunarzz.com/imgs/202305/17/C.0-HAaNhGOwFY2C2nB480.webp,近白河湾 · 怀柔景区,经济型,超棒,北京
33,筠禾酒店(北京鼓楼南锣鼓巷店),beijing_city_101241,4.5,https://userimg.qunarzz.com/imgs/202306/05/C.vkle0ewT6hQuIde_w480.webp,南锣鼓巷景区内,经济型,不错,北京
34,海友酒店(北京通州环球度假区南门店),beijing_city_101242,4.9,https://userimg.qunarzz.com/imgs/202308/12/C.enx_l4zgFtNPQdN5z480.webp,近万盛东地铁站 · 环球影城及周边,经济型,超棒,北京
35,北京轻炫公寓,beijing_city_101249,4.8,https://userimg.qunarzz.com/imgs/202005/09/C.z0CiKu_mObrXCaq4-480.webp,近南法信地铁站 · 顺义温泉区,经济型,棒,北京
36,秋果酒店X(北京工业大学十里河地铁站店),beijing_city_101291,4.9,https://userimg.qunarzz.com/imgs/202306/05/C._eQeJM3zDI2NqDOqn480.webp,近十里河地铁站 · 劲松/潘家园,经济型,超棒,北京
